entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
2374,2379,SHORT,2025-05-02 04:05:00,2025-05-02 04:30:00,97165.36304000001,97044.990117,0.08076981604984758,9.722498848093855,3.4479650483071236,0.0012388460170777453,5,TAKE_PROFIT,0.8174944111678416,RANGING
2381,2387,LONG,2025-05-02 04:40:00,2025-05-02 05:10:00,96956.68746,96866.1229,0.08548086885069087,-7.74153727588043,-14.368794168942625,-0.0009340723406764674,6,REGIME_EXIT,0.8176610876129651,RANGING
2410,2411,LONG,2025-05-02 07:05:00,2025-05-02 07:10:00,96521.90052000001,96452.80558000001,0.08247186127757722,-5.698388306662142,-12.064381583286316,-0.0007158472805420822,1,REGIME_EXIT,0.8327912818272566,RANGING
2449,2452,SHORT,2025-05-02 10:20:00,2025-05-02 10:35:00,96757.74458000001,96782.25257999999,0.09184961602027206,-2.251050389422304,-9.361680158906521,-0.0002532923861170527,3,REGIME_EXIT,0.8056637861507208,RANGING
2472,2473,LONG,2025-05-02 12:15:00,2025-05-02 12:20:00,96766.74948,96857.07471,0.0974265724460764,8.800077564303727,1.2544353504103682,0.0009334325115330121,1,TAKE_PROFIT,0.8384725381417883,RANGING
2553,2554,LONG,2025-05-02 19:00:00,2025-05-02 19:05:00,97144.32497999999,97013.0935,0.06602540283118069,-8.664611331131216,-13.792340038252867,-0.0013508918820219864,1,REGIME_EXIT,0.8062253756304537,RANGING
2586,2587,LONG,2025-05-02 21:45:00,2025-05-02 21:50:00,96800.15616,96609.14193365251,0.1093282126232841,-20.8832439521899,-29.341281098311093,-0.0019732842789195403,1,STOP_LOSS,0.8649603189879589,RANGING
2608,2620,SHORT,2025-05-02 23:35:00,2025-05-03 00:35:00,96747.34666,96761.04834,0.09650437663510929,-1.3222720872535807,-8.792034900507781,-0.00014162331550187347,12,TIME_EXIT,0.9142935852776986,RANGING
2623,2628,LONG,2025-05-03 00:50:00,2025-05-03 01:15:00,96619.52003999999,96480.79998000001,0.10955807769313212,-15.19790311107352,-23.660183056401454,-0.0014357353456376975,5,REGIME_EXIT,0.8271157592624886,RANGING
2670,2675,SHORT,2025-05-03 04:45:00,2025-05-03 05:10:00,96491.09792,96425.20386708388,0.11753762128244614,7.745030236420273,-1.3249390510438683,0.000682902924068201,5,TAKE_PROFIT,0.801256136379736,RANGING
2682,2683,SHORT,2025-05-03 05:45:00,2025-05-03 05:50:00,96527.39066,96480.16973088749,0.13934961923431802,6.580218491720134,-4.177993528205792,0.0004891971987396328,1,TAKE_PROFIT,0.8197731227831678,RANGING
2685,2687,LONG,2025-05-03 06:00:00,2025-05-03 06:10:00,96398.47584,96273.64142,0.1331491038116893,-16.62159114785192,-26.883239044919804,-0.001294983337778043,2,REGIME_EXIT,0.8037607403270806,RANGING
2735,2739,LONG,2025-05-03 10:10:00,2025-05-03 10:30:00,96156.32742,96054.58524,0.1230886248282293,-12.52330502322631,-21.986895789745624,-0.0010580913677745067,4,REGIME_EXIT,0.8383716746943726,RANGING
2765,2766,SHORT,2025-05-03 12:40:00,2025-05-03 12:45:00,96061.18392,96119.32002,0.10646474494376228,-6.189445058525415,-14.373624392579735,-0.0006051986622236433,1,REGIME_EXIT,0.9181244049655815,RANGING
2845,2851,SHORT,2025-05-03 19:20:00,2025-05-03 19:50:00,96185.95896,96317.85972000001,0.12878745448319895,-16.987163124799874,-26.90399383923687,-0.0013713099232587208,6,REGIME_EXIT,0.8162828015859617,RANGING
2871,2872,SHORT,2025-05-03 21:30:00,2025-05-03 21:35:00,96346.32688000001,96314.419032,0.16083256819495778,5.131821139414759,-7.262627882738512,0.000331178665895006,1,TAKE_PROFIT,0.8691138402026591,RANGING
2875,2878,LONG,2025-05-03 21:50:00,2025-05-03 22:05:00,96219.23999999999,96259.05261102444,0.1492257829829672,5.941068052719627,-5.54802151612229,0.0004137697515013465,3,TAKE_PROFIT,0.8403698366447087,RANGING
2993,2997,LONG,2025-05-04 07:40:00,2025-05-04 08:00:00,95780.55227999999,95861.3697043931,0.10359236671806916,8.37206826494124,0.43101216063609815,0.0008437769721441565,4,TAKE_PROFIT,0.8294667936707015,RANGING
3049,3050,SHORT,2025-05-04 12:20:00,2025-05-04 12:25:00,95489.99818000001,95438.508885,0.11189758236982164,5.7615276284272925,-2.784247709993873,0.0005392113936681475,1,TAKE_PROFIT,0.8289867847036616,RANGING
3055,3056,SHORT,2025-05-04 12:50:00,2025-05-04 12:55:00,95532.3897,95459.79629118284,0.11059498564094435,8.028467005761392,-0.42064422112958333,0.0007598826852874532,1,TAKE_PROFIT,0.9021621858224829,RANGING
3058,3059,SHORT,2025-05-04 13:05:00,2025-05-04 13:10:00,95522.59166,95455.552293,0.10522191057793949,7.054010279676179,-0.9840237944691914,0.000701816877400297,1,TAKE_PROFIT,0.8282340789744457,RANGING
